瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),利汲(cm)
192,柳林,2021-01-01 01:00,-4.6,,80,
192,柳林,2021-01-01 02:00,-3,,57,
192,柳林,2021-01-01 03:00,-3.8,,59,
192,柳林,2021-01-01 04:00,-5.7,,70,
192,柳林,2021-01-01 05:00,-6.9,,78,
192,柳林,2021-01-01 06:00,-7.6,,83,
192,柳林,2021-01-01 07:00,-8.2,,86,
192,柳林,2021-01-01 08:00,-8,,87,
192,柳林,2021-01-01 09:00,-5,,78,
192,柳林,2021-01-01 10:00,-2.3,,64,
192,柳林,2021-01-01 11:00,.1,,58,
192,柳林,2021-01-01 12:00,1.9,,54,
192,柳林,2021-01-01 13:00,2.7,,55,
192,柳林,2021-01-01 14:00,4.5,,49,
192,柳林,2021-01-01 15:00,4,,47,
192,柳林,2021-01-01 16:00,4.1,,44,
192,柳林,2021-01-01 17:00,3,,48,
192,柳林,2021-01-01 18:00,2.2,,49,
192,柳林,2021-01-01 19:00,1.6,,54,
192,柳林,2021-01-01 20:00,1.1,,59,
192,柳林,2021-01-01 21:00,-2.5,,72,
192,柳林,2021-01-01 22:00,-3.1,,75,
192,柳林,2021-01-01 23:00,-4,,80,
192,柳林,2021-01-02 00:00,-4.2,,80,
192,柳林,2021-01-02 01:00,-4.1,,80,
192,柳林,2021-01-02 02:00,-3.8,,81,
192,柳林,2021-01-02 03:00,-3.3,,79,
192,柳林,2021-01-02 04:00,-3.3,,82,
192,柳林,2021-01-02 05:00,-3.3,,80,
192,柳林,2021-01-02 06:00,-3.3,,81,
192,柳林,2021-01-02 07:00,-4.1,,85,
192,柳林,2021-01-02 08:00,-4,,86,
192,柳林,2021-01-02 09:00,-2.1,,83,
192,柳林,2021-01-02 10:00,.4,,72,
192,柳林,2021-01-02 11:00,2,,65,
192,柳林,2021-01-02 12:00,3.2,,57,
192,柳林,2021-01-02 13:00,4.5,,52,
192,柳林,2021-01-02 14:00,5.4,,38,
192,柳林,2021-01-02 15:00,4.8,,35,
192,柳林,2021-01-02 16:00,3.9,,32,
192,柳林,2021-01-02 17:00,2.5,,31,
